depth	min	max	median	mean
948	16661	17754	17220	17214
949	16665	17763	17225	17219
950	16670	17772	17231	17225
951	16676	17776	17237	17231
952	16681	17781	17242	17237
953	16685	17786	17248	17242
954	16690	17791	17254	17248
955	16694	17798	17259	17254
956	16699	17805	17265	17260
957	16706	17812	17271	17265
958	16711	17822	17276	17271
959	16717	17829	17281	17277
960	16721	17839	17287	17283
961	16727	17847	17292	17289
962	16732	17849	17298	17294
963	16737	17853	17304	17300
964	16741	17859	17310	17306
965	16747	17864	17316	17312
966	16753	17869	17321	17318
967	16759	17873	17327	17323
968	16763	17881	17333	17329
969	16768	17888	17339	17335
970	16773	17893	17346	17341
971	16778	17900	17351	17347
972	16780	17907	17357	17353
973	16783	17913	17362	17358
974	16787	17919	17368	17364
975	16793	17929	17374	17370
976	16800	17937	17380	17376
977	16805	17943	17385	17381
978	16807	17950	17391	17387
979	16812	17956	17397	17393
980	16816	17963	17403	17399
981	16822	17971	17408	17405
982	16827	17979	17414	17410
983	16835	17985	17420	17416
984	16841	17992	17426	17422
985	16849	17996	17431	17428
986	16855	18004	17437	17433
987	16861	18010	17443	17439
988	16864	18017	17448	17445
989	16868	18026	17454	17451
990	16874	18034	17459	17456
991	16879	18040	17465	17462
992	16885	18049	17471	17468
993	16888	18053	17476	17473
994	16894	18062	17481	17479
995	16899	18067	17486	17484
996	16903	18074	17492	17490
997	16910	18080	17499	17496
998	16914	18086	17504	17501
999	16920	18093	17509	17507
1000	16926	18098	17515	17513
1001	16932	18105	17521	17519
1002	16938	18112	17527	17524
1003	16943	18117	17533	17530
1004	16947	18123	17539	17536
1005	16952	18129	17545	17542
1006	16958	18137	17550	17548
1007	16966	18147	17557	17553
1008	16971	18153	17563	17559
1009	16977	18160	17569	17565
